minute,result,X,Y,xG,player,h_a,situation,season,shotType,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
61,BlockedShot,0.898000031,0.435999985,0.121662997,Mohamed Salah,a,OpenPlay,2021,LeftFoot,Arsenal,Liverpool,0,2,2022-03-16 20:15:00,Thiago Alc√°ntar,BallTouch
78,BlockedShot,0.901999969,0.34,0.092752002,Mohamed Salah,a,OpenPlay,2021,LeftFoot,Arsenal,Liverpool,0,2,2022-03-16 20:15:00,Thiago Alc√°ntar,Pass
0,MissedShots,0.826999969,0.37,0.0282645,Mohamed Salah,h,FromCorner,2021,LeftFoot,Liverpool,Watford,2,0,2022-04-02 11:30:00,Diogo Jota,Pass
41,BlockedShot,0.796999969,0.268999996,0.0265538,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Watford,2,0,2022-04-02 11:30:00,Curtis Jones,Pass
65,MissedShots,0.905,0.567000008,0.056689698,Mohamed Salah,h,SetPiece,2021,Head,Liverpool,Watford,2,0,2022-04-02 11:30:00,Fabinho,Chipped
70,MissedShots,0.871999969,0.335999985,0.059948198,Mohamed Salah,a,OpenPlay,2021,LeftFoot,Manchester City,Liverpool,2,2,2022-04-10 15:30:00,Sadio Man√,Pass
21,Goal,0.890999985,0.447000008,0.317609012,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Manchester United,4,0,2022-04-19 19:00:00,Sadio Man√,Chipped
29,BlockedShot,0.865999985,0.295,0.076067097,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Manchester United,4,0,2022-04-19 19:00:00,Thiago Alc√°ntar,Chipped
34,MissedShots,0.895,0.457999992,0.410032988,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Manchester United,4,0,2022-04-19 19:00:00,Fabinho,OffsidePass
84,Goal,0.896999969,0.534000015,0.139868006,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Manchester United,4,0,2022-04-19 19:00:00,Diogo Jota,Throughball
42,MissedShots,0.848000031,0.285,0.0260543,Mohamed Salah,h,OpenPlay,2021,LeftFoot,Liverpool,Everton,2,0,2022-04-24 15:30:00,Naby Keita,Pass
65,MissedShots,0.915,0.430999985,0.114579998,Mohamed Salah,h,FromCorner,2021,LeftFoot,Liverpool,Everton,2,0,2022-04-24 15:30:00,,Rebound
70,MissedShots,0.860999985,0.545999985,0.036487099,Mohamed Salah,a,OpenPlay,2021,Head,Newcastle United,Liverpool,0,1,2022-04-30 11:30:00,Andrew Robertson,Cross
